Date and Time:                Wed May 10 18:15:18.000 2023
Software Version:             4.32.30065.0
Temperature (C):              -80
Model:                        DU416_LD,DD
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Fully AUTO
TTL level:                    High
Time to open:                 10 ms
Time to close:                0 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 32.25
Pixel Readout Time (usecs):   10
Serial Number:                26091
Pre-Amplifier Gain:           1.700000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
Wavelength (nm):              734.84
Grating Groove Density (l/mm):1200.03
Grating Blaze:                750nm
Output Flipper Port:          Direct
Input Side Slit Width (um):   100



958.18823	68544
958.81342	68571
959.43976	68534
960.06488	68582
960.68988	68576
961.31488	68568
961.93976	68554
962.56586	68570
963.19073	68577
963.81543	68575
964.44019	68561
965.06476	68534
965.68939	68582
966.3139	68576
966.93964	68556
967.56409	68578
968.18842	68572
968.81274	68579
969.43701	68542
970.06122	68559
970.68536	68569
971.30945	68576
971.93347	68550
972.55743	68554
973.1814	68554
973.80524	68563
974.42908	68522
975.05286	68564
975.67657	68561
976.30023	68555
976.92383	68550
977.54736	68556
978.1709	68576
978.79431	68587
979.41644	68578
980.03973	68546
980.66309	68540
981.28625	68560
981.90942	68539
982.53253	68542
983.15552	68575
983.77734	68521
984.40033	68530
985.02319	68545
985.64606	68558
986.26752	68536
986.89032	68533
987.51294	68547
988.13562	68564
988.7569	68554
989.37939	68532
990.00183	68550
990.62305	68573
991.24536	68571
991.86768	68635
992.48871	68707
993.11084	68795
993.73297	68713
994.35376	68644
994.97583	68605
995.59778	68522
996.21844	68569
996.84027	68548
997.46088	68557
998.08264	68555
998.70306	68556
999.32471	68521
999.94629	68536
1000.5666	68567
1001.188	68523
1001.8082	68530
1002.4284	68533
1003.0497	68533
1003.6697	68536
1004.291	68512
1004.9108	68556
1005.5319	68555
1006.1517	68554
1006.7727	68524
1007.3924	68558
1008.012	68525
1008.6329	68522
1009.2524	68539
1009.8718	68544
1010.4926	68544
1011.1119	68537
1011.7312	68528
1012.3517	68537
1012.9709	68534
1013.5901	68534
1014.2092	68532
1014.8294	68523
1015.4484	68520
1016.0674	68519
1016.6863	68502
1017.3063	68537
1017.9251	68505
1018.5439	68540
1019.1625	68539
1019.7811	68539
1020.4009	68514
1021.0194	68518
1021.6379	68513
1022.2563	68514
1022.8746	68562
1023.4929	68508
1024.1111	68536
1024.7294	68529
1025.3475	68531
1025.9656	68516
1026.5835	68522
1027.2028	68532
1027.8207	68541
1028.4385	68511
1029.0564	68514
1029.6741	68525
1030.2917	68492
1030.9082	68494
1031.5258	68511
1032.1433	68544
1032.7607	68534
1033.3782	68500
1033.9956	68526
1034.6129	68502
1035.2301	68533
1035.8474	68531
1036.4646	68500
1037.0817	68497
1037.6975	68498
1038.3145	68486
1038.9314	68526
1039.5483	68511
1040.1652	68572
1040.7808	68512
1041.3975	68501
1042.014	68513
1042.6307	68523
1043.2461	68494
1043.8625	68519
1044.479	68504
1045.0955	68491
1045.7106	68527
1046.3269	68530
1046.9431	68528
1047.5581	68487
1048.1742	68524
1048.7903	68491
1049.4052	68526
1050.0211	68499
1050.6357	68526
1051.2517	68514
1051.8674	68495
1052.4821	68517
1053.0977	68558
1053.7122	68527
1054.3278	68508
1054.942	68545
1055.5576	68513
1056.1718	68490
1056.7872	68528
1057.4014	68538
1058.0165	68510
1058.6305	68513
1059.2457	68520
1059.8596	68511
1060.4747	68527
1061.0885	68509
1061.7023	68512
1062.3171	68514
1062.9308	68491
1063.5443	68544
1064.1591	68511
1064.7726	68524
1065.3872	68538
1066.0005	68523
1066.6139	68544
1067.2271	68513
1067.8416	68504
1068.4547	68483
1069.0677	68471
1069.682	68480
1070.295	68520
1070.908	68495
1071.5209	68499
1072.1337	68484
1072.7477	68494
1073.3605	68493
1073.9731	68464
1074.5857	68499
1075.1982	68476
1075.8108	68474
1076.4232	68498
1077.0369	68484
1077.6492	68504
1078.2615	68509
1078.8738	68508
1079.486	68532
1080.0981	68504
1080.7102	68482
1081.3223	68503
1081.9342	68493
1082.5461	68499
1083.158	68528
1083.7698	68505
1084.3816	68503
1084.9933	68507
1085.605	68474
1086.2166	68491
1086.8281	68504
1087.4396	68488
1088.051	68483
1088.6625	68476
1089.2726	68479
1089.8839	68480
1090.4951	68515
1091.1063	68497
1091.7174	68509
1092.3285	68467
1092.9384	68495
1093.5493	68477
1094.1602	68486
1094.771	68505
1095.3818	68503
1095.9915	68512
1096.6022	68504
1097.2128	68468
1097.8234	68501
1098.4327	68493
